country,country_code,goals_scored,goals_conceded,open_play_goals,own_goals,penalty_goals,result,red_cards,finals_appearances,tournament_win,year,teams_in_tournament
Sweden,SWE,2.0,4.0,2.0,0,0,[0 1 2],1,0,0,2000,16
Turkey,TUR,3.0,4.0,2.0,0,1,[1 1 2],2,0,0,2000,16
Bulgaria,BUL,1.0,9.0,1.0,0,0,[0 0 3],1,0,0,2004,16
Croatia,CRO,4.0,6.0,2.0,1,1,[0 2 1],1,0,0,2004,16
Czechia,CZE,10.0,5.0,10.0,0,0,[4 0 1],1,0,0,2004,16
Denmark,DEN,4.0,5.0,3.0,0,1,[1 2 1],1,0,0,2004,16
England,ENG,10.0,6.0,10.0,0,0,[2 1 1],1,0,0,2004,16
France,FRA,7.0,5.0,6.0,0,1,[2 1 1],0,0,0,2004,16
Germany,GER,2.0,3.0,2.0,0,0,[0 2 1],0,0,0,2004,16
Greece,GRE,7.0,4.0,7.0,0,0,[4 1 1],0,1,1,2004,16
Italy,ITA,3.0,2.0,2.0,0,1,[1 2 0],0,0,0,2004,16
Latvia,LVA,1.0,5.0,1.0,0,0,[0 1 2],0,0,0,2004,16
Netherlands,NED,7.0,6.0,6.0,0,1,[1 2 2],1,0,0,2004,16
Portugal,POR,8.0,6.0,6.0,1,1,[3 1 2],1,1,0,2004,16
Russia,RUS,2.0,4.0,2.0,0,0,[1 0 2],2,0,0,2004,16
Spain,ESP,2.0,2.0,2.0,0,0,[1 1 1],1,0,0,2004,16
Sweden,SWE,8.0,3.0,7.0,0,1,[1 3 0],0,0,0,2004,16
Switzerland,SUI,1.0,6.0,1.0,0,0,[0 1 2],2,0,0,2004,16
Austria,AUT,1.0,3.0,-1.0,0,2,[0 1 2],0,0,0,2008,16
Croatia,CRO,5.0,2.0,5.0,0,0,[3 1 0],1,0,0,2008,16
Czechia,CZE,4.0,6.0,4.0,0,0,[1 0 2],1,0,0,2008,16
France,FRA,1.0,6.0,0.0,0,1,[0 1 2],1,0,0,2008,16
Germany,GER,10.0,7.0,10.0,0,0,[4 0 2],1,1,0,2008,16
Greece,GRE,1.0,5.0,1.0,0,0,[0 0 3],0,0,0,2008,16
Italy,ITA,3.0,4.0,3.0,0,0,[1 2 1],1,0,0,2008,16
Netherlands,NED,10.0,4.0,10.0,0,0,[3 0 1],0,0,0,2008,16
Poland,POL,1.0,4.0,1.0,0,0,[0 1 2],0,0,0,2008,16
Portugal,POR,7.0,6.0,7.0,0,0,[2 0 2],0,0,0,2008,16
Romania,ROU,1.0,3.0,1.0,0,0,[0 2 1],0,0,0,2008,16
Russia,RUS,7.0,8.0,7.0,0,0,[3 0 2],0,0,0,2008,16
Spain,ESP,12.0,3.0,12.0,0,0,[5 1 0],0,1,1,2008,16
Sweden,SWE,3.0,4.0,3.0,0,0,[1 0 2],0,0,0,2008,16
Switzerland,SUI,3.0,3.0,2.0,0,1,[1 0 2],0,0,0,2008,16
Turkey,TUR,8.0,9.0,8.0,0,0,[2 1 2],1,0,0,2008,16
Croatia,CRO,4.0,3.0,4.0,0,0,[1 1 1],0,0,0,2012,16
Czechia,CZE,4.0,6.0,4.0,0,0,[2 0 2],0,0,0,2012,16
Denmark,DEN,4.0,5.0,4.0,0,0,[1 0 2],0,0,0,2012,16
England,ENG,5.0,3.0,5.0,0,0,[2 2 0],0,0,0,2012,16
France,FRA,3.0,5.0,3.0,0,0,[1 1 2],0,0,0,2012,16
Germany,GER,10.0,6.0,8.0,0,2,[4 0 1],0,0,0,2012,16
Greece,GRE,5.0,7.0,5.0,0,0,[1 1 2],2,0,0,2012,16
Ireland,IRL,1.0,9.0,1.0,0,0,[0 0 3],1,0,0,2012,16
Italy,ITA,6.0,7.0,6.0,0,0,[2 3 1],1,1,0,2012,16
Netherlands,NED,2.0,5.0,2.0,0,0,[0 0 3],0,0,0,2012,16
Poland,POL,2.0,3.0,2.0,0,0,[0 2 1],2,0,0,2012,16
Portugal,POR,6.0,4.0,6.0,0,0,[3 1 1],0,0,0,2012,16
Russia,RUS,5.0,3.0,5.0,0,0,[1 1 1],0,0,0,2012,16
Spain,ESP,12.0,1.0,11.0,0,1,[4 2 0],0,1,1,2012,16
Sweden,SWE,5.0,5.0,4.0,1,0,[1 0 2],0,0,0,2012,16
Ukraine,UKR,2.0,4.0,2.0,0,0,[1 0 2],0,0,0,2012,16
Albania,ALB,1.0,3.0,1.0,0,0,[1 0 2],1,0,0,2016,24
Austria,AUT,1.0,4.0,1.0,0,0,[0 1 2],1,0,0,2016,24
Belgium,BEL,9.0,5.0,9.0,0,0,[3 0 2],0,0,0,2016,24
Croatia,CRO,5.0,4.0,5.0,0,0,[2 1 1],0,0,0,2016,24
Czechia,CZE,2.0,5.0,1.0,0,1,[0 1 2],0,0,0,2016,24
England,ENG,4.0,4.0,3.0,0,1,[1 2 1],0,0,0,2016,24
France,FRA,13.0,5.0,11.0,0,2,[5 1 1],1,1,0,2016,24
Germany,GER,7.0,3.0,5.0,0,2,[3 2 1],0,0,0,2016,24
Hungary,HUN,6.0,8.0,6.0,0,0,[1 2 1],1,0,0,2016,24
Iceland,ISL,8.0,9.0,6.0,1,1,[2 2 1],0,0,0,2016,24
Ireland,IRL,3.0,6.0,2.0,1,0,[1 1 2],1,0,0,2016,24
Italy,ITA,6.0,2.0,6.0,0,0,[3 1 1],0,0,0,2016,24
Northern Ireland,NIR,2.0,3.0,2.0,0,0,[1 0 3],0,0,0,2016,24
Poland,POL,4.0,2.0,4.0,0,0,[2 3 0],0,0,0,2016,24
Portugal,POR,9.0,5.0,9.0,0,0,[3 4 0],0,1,1,2016,24
Romania,ROU,2.0,4.0,1.0,0,1,[0 1 2],0,0,0,2016,24
Russia,RUS,2.0,6.0,2.0,0,0,[0 1 2],0,0,0,2016,24
Slovakia,SVK,3.0,6.0,3.0,0,0,[1 1 2],0,0,0,2016,24
Spain,ESP,5.0,4.0,5.0,0,0,[2 0 2],0,0,0,2016,24
Sweden,SWE,1.0,3.0,1.0,0,0,[0 1 2],0,0,0,2016,24
Switzerland,SUI,3.0,2.0,3.0,0,0,[1 3 0],1,0,0,2016,24
Turkey,TUR,2.0,4.0,2.0,0,0,[1 0 2],0,0,0,2016,24
Ukraine,UKR,0.0,5.0,0.0,0,0,[0 0 3],0,0,0,2016,24
Wales,WAL,10.0,6.0,9.0,1,0,[4 0 2],0,0,0,2016,24
Austria,AUT,5.0,5.0,5.0,0,0,[2 0 2],0,0,0,2020,24
Belgium,BEL,9.0,3.0,8.0,0,1,[4 0 1],0,0,0,2020,24
Croatia,CRO,7.0,8.0,5.0,1,1,[1 1 2],0,0,0,2020,24
Czechia,CZE,6.0,4.0,6.0,0,0,[2 1 2],1,0,0,2020,24
Denmark,DEN,12.0,7.0,12.0,0,0,[3 0 3],1,0,0,2020,24
England,ENG,11.0,2.0,10.0,1,0,[5 2 0],0,1,0,2020,24
Finland,FIN,1.0,3.0,0.0,1,0,[1 0 2],0,0,0,2020,24
France,FRA,7.0,6.0,6.0,1,0,[1 3 0],0,0,0,2020,24
Germany,GER,6.0,7.0,6.0,0,0,[1 1 2],0,0,0,2020,24
Hungary,HUN,3.0,6.0,2.0,0,1,[0 2 1],0,0,0,2020,24
Italy,ITA,13.0,4.0,13.0,0,0,[5 2 0],1,1,0,2020,24
Netherlands,NED,8.0,4.0,7.0,0,1,[3 0 1],1,0,0,2020,24
North Macedonia,MKD,2.0,8.0,2.0,0,0,[0 0 3],0,0,0,2020,24
Poland,POL,4.0,6.0,3.0,1,0,[0 1 2],1,0,0,2020,24
Portugal,POR,7.0,7.0,2.0,2,3,[1 1 2],0,0,0,2020,24
Russia,RUS,2.0,7.0,1.0,0,1,[1 0 2],0,0,0,2020,24
Scotland,SCO,1.0,5.0,1.0,0,0,[0 1 2],0,0,0,2020,24
Slovakia,SVK,2.0,7.0,0.0,2,0,[1 0 2],1,0,0,2020,24
Spain,ESP,13.0,6.0,13.0,0,0,[2 4 0],1,0,0,2020,24
Sweden,SWE,5.0,4.0,4.0,0,1,[2 1 1],1,0,0,2020,24
Switzerland,SUI,8.0,9.0,7.0,1,0,[1 3 1],1,0,0,2020,24
Turkey,TUR,1.0,8.0,0.0,1,0,[0 0 3],0,0,0,2020,24
Ukraine,UKR,6.0,10.0,6.0,0,0,[2 0 3],1,0,0,2020,24
Wales,WAL,3.0,6.0,3.0,0,0,[1 1 2],2,0,0,2020,24
Albania,ALB,3.0,5.0,3.0,0,0,[0 1 2],0,0,0,2024,24
Austria,AUT,6.0,4.0,5.0,1,0,[2 0 1],0,0,0,2024,24
Belgium,BEL,2.0,1.0,2.0,0,0,[1 1 1],0,0,0,2024,24
Croatia,CRO,3.0,6.0,2.0,1,0,[0 2 1],0,0,0,2024,24
Czechia,CZE,3.0,5.0,3.0,0,0,[0 1 2],2,0,0,2024,24
Denmark,DEN,2.0,2.0,2.0,0,0,[0 3 0],0,0,0,2024,24
England,ENG,2.0,1.0,2.0,0,0,[1 2 0],0,0,0,2024,24
France,FRA,2.0,1.0,0.0,0,2,[1 2 0],0,0,0,2024,24
Georgia,GEO,4.0,4.0,2.0,0,2,[1 1 1],0,0,0,2024,24
Germany,GER,8.0,2.0,6.0,1,1,[2 1 0],1,0,0,2024,24
Hungary,HUN,2.0,5.0,2.0,0,0,[1 0 2],0,0,0,2024,24
Italy,ITA,3.0,3.0,3.0,0,0,[1 1 1],0,0,0,2024,24
Netherlands,NED,4.0,4.0,3.0,1,0,[1 1 1],0,0,0,2024,24
Poland,POL,3.0,6.0,2.0,0,1,[0 1 2],0,0,0,2024,24
Portugal,POR,5.0,3.0,4.0,1,0,[2 0 1],0,0,0,2024,24
Romania,ROU,4.0,3.0,4.0,0,0,[1 1 1],0,0,0,2024,24
Scotland,SCO,2.0,7.0,2.0,0,0,[0 1 2],1,0,0,2024,24
Serbia,SRB,1.0,2.0,1.0,0,0,[0 2 1],0,0,0,2024,24
Slovakia,SVK,3.0,3.0,2.0,0,1,[1 1 1],0,0,0,2024,24
Slovenia,SVN,2.0,2.0,2.0,0,0,[0 3 0],0,0,0,2024,24
Spain,ESP,5.0,0.0,4.0,1,0,[3 0 0],0,0,0,2024,24
Switzerland,SUI,5.0,3.0,5.0,0,0,[1 2 0],0,0,0,2024,24
Turkey,TUR,5.0,5.0,4.0,1,0,[2 0 1],2,0,0,2024,24
Ukraine,UKR,2.0,4.0,2.0,0,0,[1 1 1],0,0,0,2024,24
